kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_time0bk,koi_depth,koi_impact,koi_duration,koi_ror,koi_steff,koi_slogg,koi_srad,ra,dec
10982872,K00343.03,Kepler-142 d,CONFIRMED,41.8085031,148.70814,190.4,0.011,7.797,0.01252,5794.0,4.263,1.225,295.1189,48.481281
3558981,K00052.01,,FALSE POSITIVE,2.98786272,168.011233,42789.0,0.621,2.5814,0.198719,5231.0,4.544,0.821,294.97745,38.678352
11015108,K00344.01,Kepler-530 b,CONFIRMED,39.30944096,171.334861,1132.1,0.028,5.77,0.030434,5607.0,4.536,0.863,283.34027,48.549042
11074541,K00345.01,Kepler-531 b,CONFIRMED,29.88487723,173.194404,1275.7,0.658,4.5612,0.034344,4883.0,4.549,0.749,286.52481,48.683601
11100383,K00346.01,Kepler-532 b,CONFIRMED,12.92489803,170.78679,959.0,0.768,2.6811,0.031196,5103.0,4.584,0.768,298.66092,48.606369
8847111,K02985.01,,FALSE POSITIVE,0.575884418,132.00778,272.2,1.258,2.0734,0.273374,6290.0,4.442,1.044,300.71927,45.09605
4568298,K02986.01,,FALSE POSITIVE,0.562555067,131.74958,198.3,0.527,1.7402,0.013287,5793.0,4.561,0.832,293.53629,39.69009
4374339,K02987.01,,FALSE POSITIVE,0.993703494,132.142,67.4,0.436,0.7645,0.007818,6854.0,3.808,2.715,293.98346,39.43042
6636320,K02989.01,Kepler-1892 b,CONFIRMED,6.33125228,137.14149,306.6,0.094,2.688,0.015805,5383.0,4.603,0.759,299.08099,42.018139
4067925,K03066.01,Kepler-1897 b,CONFIRMED,24.2204192,146.42459,806.3,0.032,3.271,0.025317,5165.0,4.599,0.761,294.29004,39.126869
4847782,K03067.01,,FALSE POSITIVE,30.9597053,139.43903,410.7,1.191,5.42,0.213233,4947.0,4.621,0.714,295.06442,39.960659
6021275,K00284.02,Kepler-132 c,CONFIRMED,6.41491277,169.64044,121.0,0.869,3.3629,0.011625,5931.0,4.322,1.101,283.23581,41.34304
10350571,K01175.03,,FALSE POSITIVE,93.881556,131.5771,188.7,0.008,20.644,0.01242,5676.0,4.1,1.487,295.92065,47.448608
10488450,K00290.01,,FALSE POSITIVE,2.683395376,171.42605,234.7,0.763,1.8592,0.015281,6958.0,4.195,1.529,298.04419,47.627918
10933561,K00291.01,Kepler-133 c,CONFIRMED,31.51779463,185.1533,357.6,0.561,7.634,0.017813,5611.0,4.144,1.4,297.27798,48.320332
10933561,K00291.02,Kepler-133 b,CONFIRMED,8.12999858,134.10067,148.0,0.896,2.1492,0.013332,5611.0,4.144,1.4,297.27798,48.320332
8845026,K00044.01,,FALSE POSITIVE,66.46746217,160.47651,12643.7,0.116,19.6638,0.102171,5843.0,4.403,1.073,300.15186,45.089611
11075737,K00292.01,Kepler-97 b,CONFIRMED,2.586639524,171.842572,217.7,0.349,2.253,0.013613,5780.0,4.421,0.966,287.32663,48.673431
11189127,K00347.01,,FALSE POSITIVE,2.671942657,169.853908,15942.0,0.982,1.9119,0.194086,6116.0,4.335,1.055,291.15738,48.861145
11194032,K00348.01,Kepler-533 b,CONFIRMED,28.51117639,187.363955,1844.6,0.77,4.5941,0.04343,4687.0,4.627,0.69,293.68573,48.825142
11394027,K00349.01,Kepler-1664 b,CONFIRMED,14.38682567,170.455049,569.6,0.021,2.1417,0.021663,5725.0,4.353,1.072,286.85266,49.261681
11442793,K00351.01,Kepler-90 h,CONFIRMED,331.5972732,140.498929,8322.1,0.02,14.404,0.083115,5970.0,4.317,1.2,284.4335,49.305161
5520547,K02990.01,Kepler-1401 b,CONFIRMED,11.20058855,137.51003,219.9,0.956,4.562,0.017306,6038.0,4.524,0.898,287.46606,40.75845
4848424,K02991.01,,FALSE POSITIVE,1.50179931,131.55611,100.1,0.256,3.275,0.008965,5024.0,4.613,0.736,295.21753,39.933128
8866102,K00042.01,Kepler-410 A b,CONFIRMED,17.83367834,181.233943,326.9,0.013,4.5112,0.016638,6407.0,4.268,1.337,283.1507,45.139832
